Order id,Product,Quantity Ordered,Cost Price,Selling Price,Order Date,Location
176559,Bose SoundSport Headphones,1,99,99.99,04-07-2019 22:30,Delhi
176560,Google Phone,1,594.06,600,04-12-2019 14:38,Nashik
176560,Wired Headphones,1,11.53,11.99,04-12-2019 14:38,Pune
176561,Wired Headphones,1,11.1,11.99,04/30/19 09:27,Mumbai
176562,USB-C Charging Cable,1,11.27,11.95,04/29/19 13:03,Mumbai
176563,Bose SoundSport Headphones,1,99,99.99,04-02-2019 07:46,Nashik
176564,USB-C Charging Cable,1,11.17,11.95,04-12-2019 10:58,Pune
176565,Macbook Pro Laptop,1,1545.45,1700,04/24/19 10:38,Delhi
176566,Wired Headphones,1,11.87,11.99,04-08-2019 14:05,Delhi
176567,Google Phone,1,545.45,600,04/18/19 17:18,Pune
176568,Lightning Charging Cable,1,14.24,14.95,04/15/19 12:18,Pune
176569,27in 4K Gaming Monitor,1,386.13,389.99,04/16/19 19:23,Delhi
176570,AA Batteries (4-pack),1,3.59,3.84,04/22/19 15:09,Chennai
176571,Lightning Charging Cable,1,14.51,14.95,04/19/19 14:29,Nashik
176572,Apple Airpods Headphones,1,137.61,150,04-04-2019 20:30,Mumbai
176573,USB-C Charging Cable,1,11.27,11.95,04/27/19 18:41,Chennai
176574,Google Phone,1,555.56,600,04-03-2019 19:42,Delhi
176574,USB-C Charging Cable,1,10.96,11.95,04-03-2019 19:42,Nashik
176575,AAA Batteries (4-pack),1,2.77,2.99,04/27/19 00:30,Delhi
176576,Apple Airpods Headphones,1,136.36,150,04/28/19 11:42,Chennai
176577,Apple Airpods Headphones,1,137.61,150,04-04-2019 19:25,Mumbai
176578,Apple Airpods Headphones,1,148.51,150,04-09-2019 23:35,Delhi
176579,AA Batteries (4-pack),1,3.62,3.84,04-11-2019 10:23,Delhi
176580,USB-C Charging Cable,1,10.96,11.95,04-05-2019 00:35,Mumbai
176581,iPhone,1,673.08,700,04-09-2019 21:38,Chennai
176582,Bose SoundSport Headphones,1,93.45,99.99,04/27/19 12:20,Delhi
176583,AAA Batteries (4-pack),2,2.82,2.99,04/20/19 12:00,Mumbai
176584,Flatscreen TV,1,277.78,300,04/24/19 20:39,Mumbai
176585,Bose SoundSport Headphones,1,98.03,99.99,04-07-2019 11:31,Chennai
176585,Bose SoundSport Headphones,1,94.33,99.99,04-07-2019 11:31,Mumbai
176586,AAA Batteries (4-pack),2,2.85,2.99,04-10-2019 17:00,Nashik
176586,Google Phone,1,594.06,600,04-10-2019 17:00,Delhi
176587,27in FHD Monitor,1,145.62,149.99,04/29/19 19:38,Pune
176588,20in Monitor,1,101.84,109.99,04-02-2019 04:00,Nashik
176589,Lightning Charging Cable,1,14.51,14.95,04-04-2019 12:23,Chennai
176590,Google Phone,1,550.46,600,04-11-2019 11:46,Delhi
176591,Apple Airpods Headphones,1,142.86,150,04/21/19 07:21,Pune
176592,USB-C Charging Cable,1,10.96,11.95,04/27/19 13:04,Pune
176593,Lightning Charging Cable,2,13.59,14.95,04/15/19 13:45,Chennai
176594,Wired Headphones,1,10.9,11.99,04/17/19 23:04,Delhi
176595,Wired Headphones,3,11.87,11.99,04-02-2019 09:11,Pune
176596,Apple Airpods Headphones,1,136.36,150,04/27/19 20:11,Nashik
176597,USB-C Charging Cable,1,10.96,11.95,04/19/19 13:39,Delhi
176598,AAA Batteries (4-pack),2,2.79,2.99,04/21/19 20:33,Pune
176599,Lightning Charging Cable,1,14.66,14.95,04-11-2019 15:25,Nashik
176600,27in 4K Gaming Monitor,1,378.63,389.99,04/30/19 15:54,Delhi
176601,USB-C Charging Cable,1,11.06,11.95,04-02-2019 22:32,Chennai
176602,Lightning Charging Cable,1,13.59,14.95,04/30/19 09:39,Pune
176603,USB-C Charging Cable,1,11.6,11.95,04-01-2019 07:46,Chennai
176604,USB-C Charging Cable,1,10.86,11.95,04-02-2019 10:57,Delhi
176605,USB-C Charging Cable,1,11.49,11.95,04/15/19 16:29,Pune
176606,LG Dryer,1,560.75,600,04/21/19 14:16,Nashik
176607,AAA Batteries (4-pack),2,2.82,2.99,04/18/19 12:11,Delhi
176608,iPhone,1,679.61,700,04-11-2019 12:01,Delhi
176609,Apple Airpods Headphones,1,147.06,150,04-11-2019 16:59,Delhi
176610,AAA Batteries (4-pack),1,2.96,2.99,04/26/19 00:40,Chennai
176611,Bose SoundSport Headphones,1,94.33,99.99,04/30/19 13:16,Chennai
176612,Apple Airpods Headphones,1,136.36,150,04-04-2019 19:48,Delhi
176613,USB-C Charging Cable,2,11.49,11.95,04/26/19 18:58,Mumbai
176614,AA Batteries (4-pack),1,3.52,3.84,04-07-2019 21:01,Mumbai
176615,Lightning Charging Cable,1,14.1,14.95,04/30/19 10:35,Chennai
176616,USB-C Charging Cable,1,11.17,11.95,04-05-2019 20:40,Mumbai
176617,Apple Airpods Headphones,1,142.86,150,04/25/19 08:03,Pune
176618,Lightning Charging Cable,2,14.24,14.95,04/18/19 21:44,Mumbai
176619,Flatscreen TV,1,288.46,300,04/16/19 18:37,Delhi
176620,USB-C Charging Cable,1,11.83,11.95,04/17/19 10:39,Mumbai
176621,Lightning Charging Cable,1,14.51,14.95,04-11-2019 16:09,Chennai
176622,AA Batteries (4-pack),1,3.73,3.84,04-11-2019 20:16,Pune
176623,27in FHD Monitor,1,142.85,149.99,04/20/19 23:51,Nashik
176624,AA Batteries (4-pack),1,3.76,3.84,04/28/19 10:44,Mumbai
176625,AAA Batteries (4-pack),2,2.79,2.99,04/24/19 19:00,Delhi
176626,Bose SoundSport Headphones,1,95.23,99.99,04-01-2019 21:40,Chennai
176627,Wired Headphones,1,11,11.99,04/21/19 14:57,Mumbai
176628,Lightning Charging Cable,2,13.72,14.95,04/15/19 04:03,Mumbai
176629,USB-C Charging Cable,1,11.38,11.95,04/24/19 11:56,Nashik
176630,Google Phone,1,566.04,600,04-10-2019 05:01,Mumbai
176631,USB-C Charging Cable,1,10.96,11.95,04/13/19 18:48,Pune
176632,AAA Batteries (4-pack),1,2.9,2.99,04/14/19 14:28,Pune
176633,ThinkPad Laptop,1,961.53,999.99,04/23/19 14:03,Delhi
176634,Lightning Charging Cable,1,14.24,14.95,04-10-2019 08:00,Chennai
176635,Vareebadd Phone,1,396.04,400,04/26/19 09:55,Chennai
176636,AA Batteries (4-pack),1,3.62,3.84,04/30/19 20:37,Delhi
176637,AAA Batteries (4-pack),1,2.74,2.99,04/17/19 10:03,Delhi
176638,USB-C Charging Cable,1,11.49,11.95,04/20/19 08:33,Mumbai
176639,Macbook Pro Laptop,1,1603.77,1700,04/28/19 16:14,Delhi
176640,Wired Headphones,2,11,11.99,04/27/19 22:54,Mumbai
176641,Lightning Charging Cable,1,14.66,14.95,04/25/19 21:36,Chennai
176642,AA Batteries (4-pack),1,3.73,3.84,04/17/19 18:38,Mumbai
176643,Macbook Pro Laptop,1,1603.77,1700,04/27/19 21:32,Pune
176644,USB-C Charging Cable,1,11.38,11.95,04/23/19 02:09,Nashik
176645,AAA Batteries (4-pack),3,2.74,2.99,04/26/19 18:38,Chennai
176646,Macbook Pro Laptop,1,1559.63,1700,04/22/19 07:14,Chennai
176647,Google Phone,1,566.04,600,04/21/19 19:40,Mumbai
176648,27in FHD Monitor,1,142.85,149.99,04/24/19 01:17,Mumbai
176649,USB-C Charging Cable,1,10.86,11.95,04-09-2019 08:49,Chennai
176650,Lightning Charging Cable,1,14.66,14.95,04-12-2019 16:47,Delhi
176651,iPhone,1,636.36,700,04-07-2019 13:14,Pune
176652,LG Washing Machine,1,560.75,600,04-09-2019 20:04,Chennai
176653,AA Batteries (4-pack),1,3.8,3.84,04/26/19 19:20,Chennai
176654,USB-C Charging Cable,1,10.96,11.95,04/15/19 19:35,Delhi
176655,Apple Airpods Headphones,1,145.63,150,04-11-2019 19:36,Chennai
176656,Google Phone,1,594.06,600,04-12-2019 16:42,Nashik
176657,ThinkPad Laptop,1,961.53,999.99,04/23/19 10:16,Nashik
176658,AAA Batteries (4-pack),2,2.79,2.99,04/22/19 08:51,Pune
176659,20in Monitor,1,108.9,109.99,04/29/19 14:40,Nashik
176660,AA Batteries (4-pack),1,3.69,3.84,04/16/19 17:10,Pune
176661,Wired Headphones,1,11.42,11.99,04/25/19 20:40,Nashik
176662,34in Ultrawide Monitor,1,348.61,379.99,04-05-2019 12:46,Delhi
176663,Bose SoundSport Headphones,1,93.45,99.99,04-05-2019 11:48,Mumbai
176664,AAA Batteries (4-pack),1,2.82,2.99,04/13/19 18:59,Delhi
176665,ThinkPad Laptop,1,934.57,999.99,04-07-2019 14:15,Chennai
176666,Wired Headphones,1,11.64,11.99,04-08-2019 16:50,Delhi
176667,27in 4K Gaming Monitor,1,357.79,389.99,04-11-2019 00:39,Nashik
176668,AA Batteries (4-pack),1,3.52,3.84,04/15/19 20:46,Pune
176669,27in FHD Monitor,1,142.85,149.99,04-08-2019 12:57,Delhi
