Order id,Product,Quantity Ordered,Cost Price,Selling Price,Order Date,Location
176559,Bose SoundSport Headphones,1,99.0,99.99,2019-04-07 22:30:00,Delhi
176560,Google Phone,1,594.06,600.0,2019-04-12 14:38:00,Nashik
176560,Wired Headphones,1,11.53,11.99,2019-04-12 14:38:00,Pune
176561,Wired Headphones,1,11.1,11.99,2019-04-30 09:27:00,Mumbai
176562,USB-C Charging Cable,1,11.27,11.95,2019-04-29 13:03:00,Mumbai
176563,Bose SoundSport Headphones,1,99.0,99.99,2019-04-02 07:46:00,Nashik
176564,USB-C Charging Cable,1,11.17,11.95,2019-04-12 10:58:00,Pune
176565,Macbook Pro Laptop,1,1545.45,1700.0,2019-04-24 10:38:00,Delhi
176566,Wired Headphones,1,11.87,11.99,2019-04-08 14:05:00,Delhi
176567,Google Phone,1,545.45,600.0,2019-04-18 17:18:00,Pune
176568,Lightning Charging Cable,1,14.24,14.95,2019-04-15 12:18:00,Pune
176569,27in 4K Gaming Monitor,1,386.13,389.99,2019-04-16 19:23:00,Delhi
176570,AA Batteries (4-pack),1,3.59,3.84,2019-04-22 15:09:00,Chennai
176571,Lightning Charging Cable,1,14.51,14.95,2019-04-19 14:29:00,Nashik
176572,Apple Airpods Headphones,1,137.61,150.0,2019-04-04 20:30:00,Mumbai
176573,USB-C Charging Cable,1,11.27,11.95,2019-04-27 18:41:00,Chennai
176574,Google Phone,1,555.56,600.0,2019-04-03 19:42:00,Delhi
176574,USB-C Charging Cable,1,10.96,11.95,2019-04-03 19:42:00,Nashik
176575,AAA Batteries (4-pack),1,2.77,2.99,2019-04-27 00:30:00,Delhi
176576,Apple Airpods Headphones,1,136.36,150.0,2019-04-28 11:42:00,Chennai
176577,Apple Airpods Headphones,1,137.61,150.0,2019-04-04 19:25:00,Mumbai
176578,Apple Airpods Headphones,1,148.51,150.0,2019-04-09 23:35:00,Delhi
176579,AA Batteries (4-pack),1,3.62,3.84,2019-04-11 10:23:00,Delhi
176580,USB-C Charging Cable,1,10.96,11.95,2019-04-05 00:35:00,Mumbai
176581,iPhone,1,673.08,700.0,2019-04-09 21:38:00,Chennai
